property,version,outcome
bor-additivity,v1,N
bor-additivity,v2,N
bor-additivity,v3,N
bor-state,v1,P!
bor-state,v2,ERR
bor-state,v3,P!
bor-xr-eq,v1,P!
bor-xr-eq,v2,N
bor-xr-eq,v3,P!
credits-zero,v1,ERR
credits-zero,v2,ERR
credits-zero,v3,ERR
dep-additivity,v1,N
dep-additivity,v2,N
dep-additivity,v3,N
dep-state,v1,P!
dep-state,v2,N
dep-state,v3,P!
dep-tokens,v1,P!
dep-tokens,v2,P!
dep-tokens,v3,P!
dep-xr,v1,P!
dep-xr,v2,N
dep-xr,v3,P!
dep-xr-eq,v1,N
dep-xr-eq,v2,N
dep-xr-eq,v3,N
expected-interest,v1,P!
expected-interest,v2,ERR
expected-interest,v3,N
rdm-state,v1,P!
rdm-state,v2,N
rdm-state,v3,P!
rdm-xr-eq,v1,N
rdm-xr-eq,v2,N
rdm-xr-eq,v3,N
rpy-state,v1,P!
rpy-state,v2,ERR
rpy-state,v3,P!
rpy-xr-eq,v1,P!
rpy-xr-eq,v2,N
rpy-xr-eq,v3,P!
trace1,v1,P!
trace1,v2,P!
trace1,v3,P!
trace2,v1,P!
trace2,v2,N
trace2,v3,P!
xr-geq-one,v1,ERR
xr-geq-one,v2,ERR
xr-geq-one,v3,ERR
xr-increasing,v1,ERR
xr-increasing,v2,ERR
xr-increasing,v3,ERR
xr-invariant,v1,ERR
xr-invariant,v2,ERR
xr-invariant,v3,ERR
