property,version,outcome
bor-additivity,v1,P!
bor-additivity,v2,ERR
bor-additivity,v3,P!
bor-additivity,v4,P!
bor-additivity,v5,ERR
bor-additivity,v6,ERR
bor-additivity,v7,P!
bor-state,v1,P!
bor-state,v2,ERR
bor-state,v3,P!
bor-state,v4,P!
bor-state,v5,ERR
bor-state,v6,ERR
bor-state,v7,P!
bor-tokens,v1,P!
bor-tokens,v2,P!
bor-tokens,v3,P!
bor-tokens,v4,P!
bor-tokens,v5,P!
bor-tokens,v6,P!
bor-tokens,v7,P!
bor-xr-eq,v1,P!
bor-xr-eq,v2,N
bor-xr-eq,v3,P!
bor-xr-eq,v4,P!
bor-xr-eq,v5,N
bor-xr-eq,v6,N
bor-xr-eq,v7,P!
credits-zero,v1,N
credits-zero,v2,N
credits-zero,v3,N
credits-zero,v4,N
credits-zero,v5,N
credits-zero,v6,N
credits-zero,v7,N
dep-additivity,v1,N
dep-additivity,v2,N
dep-additivity,v3,N
dep-additivity,v4,N
dep-additivity,v5,N
dep-additivity,v6,N
dep-additivity,v7,N
dep-state,v1,P!
dep-state,v2,P!
dep-state,v3,P!
dep-state,v4,P!
dep-state,v5,P!
dep-state,v6,P!
dep-state,v7,P!
dep-tokens,v1,P!
dep-tokens,v2,P!
dep-tokens,v3,P!
dep-tokens,v4,P!
dep-tokens,v5,P!
dep-tokens,v6,P!
dep-tokens,v7,P!
dep-xr,v1,P!
dep-xr,v2,N
dep-xr,v3,P!
dep-xr,v4,P!
dep-xr,v5,N
dep-xr,v6,N
dep-xr,v7,P!
dep-xr-eq,v1,N
dep-xr-eq,v2,N
dep-xr-eq,v3,N
dep-xr-eq,v4,N
dep-xr-eq,v5,N
dep-xr-eq,v6,N
dep-xr-eq,v7,N
expected-interest,v1,P!
expected-interest,v2,ERR
expected-interest,v3,N
expected-interest,v4,P!
expected-interest,v5,ERR
expected-interest,v6,ERR
expected-interest,v7,P!
rdm-additivity,v1,N
rdm-additivity,v2,N
rdm-additivity,v3,N
rdm-additivity,v4,N
rdm-additivity,v5,N
rdm-additivity,v6,N
rdm-additivity,v7,N
rdm-state,v1,P!
rdm-state,v2,ERR
rdm-state,v3,P!
rdm-state,v4,N
rdm-state,v5,ERR
rdm-state,v6,N
rdm-state,v7,P!
rdm-tokens,v1,P!
rdm-tokens,v2,P!
rdm-tokens,v3,P!
rdm-tokens,v4,N
rdm-tokens,v5,P!
rdm-tokens,v6,N
rdm-tokens,v7,P!
rdm-xr-eq,v1,N
rdm-xr-eq,v2,N
rdm-xr-eq,v3,N
rdm-xr-eq,v4,N
rdm-xr-eq,v5,N
rdm-xr-eq,v6,N
rdm-xr-eq,v7,N
rpy-additivity,v1,P!
rpy-additivity,v2,P!
rpy-additivity,v3,P!
rpy-additivity,v4,P!
rpy-additivity,v5,P!
rpy-additivity,v6,P!
rpy-additivity,v7,P!
rpy-state,v1,P!
rpy-state,v2,ERR
rpy-state,v3,P!
rpy-state,v4,P!
rpy-state,v5,N
rpy-state,v6,ERR
rpy-state,v7,N
rpy-tokens,v1,P!
rpy-tokens,v2,P!
rpy-tokens,v3,P!
rpy-tokens,v4,P!
rpy-tokens,v5,N
rpy-tokens,v6,P!
rpy-tokens,v7,N
rpy-xr-eq,v1,P!
rpy-xr-eq,v2,N
rpy-xr-eq,v3,P!
rpy-xr-eq,v4,P!
rpy-xr-eq,v5,N
rpy-xr-eq,v6,N
rpy-xr-eq,v7,P!
trace1,v1,P!
trace1,v2,N
trace1,v3,P!
trace1,v4,P!
trace1,v5,N
trace1,v6,N
trace1,v7,P!
trace2,v1,P!
trace2,v2,N
trace2,v3,P!
trace2,v4,P!
trace2,v5,N
trace2,v6,N
trace2,v7,P!
xr-geq-one,v1,N
xr-geq-one,v2,N
xr-geq-one,v3,N
xr-geq-one,v4,N
xr-geq-one,v5,N
xr-geq-one,v6,N
xr-geq-one,v7,N
xr-increasing,v1,P!
xr-increasing,v2,N
xr-increasing,v3,P!
xr-increasing,v4,P!
xr-increasing,v5,N
xr-increasing,v6,N
xr-increasing,v7,P!
xr-invariant,v1,N
xr-invariant,v2,N
xr-invariant,v3,N
xr-invariant,v4,N
xr-invariant,v5,N
xr-invariant,v6,N
xr-invariant,v7,N
