property,version,outcome
fair-split-eq,v1,UNK
fair-split-eq,v10,UNK
fair-split-eq,v2,UNK
fair-split-eq,v3,N
fair-split-eq,v4,UNK
fair-split-eq,v5,UNK
fair-split-eq,v6,UNK
fair-split-eq,v7,UNK
fair-split-eq,v8,UNK
fair-split-eq,v9,UNK
fair-split-geq,v1,UNK
fair-split-geq,v10,UNK
fair-split-geq,v2,UNK
fair-split-geq,v3,UNK
fair-split-geq,v4,UNK
fair-split-geq,v5,UNK
fair-split-geq,v6,UNK
fair-split-geq,v7,UNK
fair-split-geq,v8,UNK
fair-split-geq,v9,UNK
non-zero-payees,v1,UNK
non-zero-payees,v10,UNK
non-zero-payees,v2,UNK
non-zero-payees,v3,P!
non-zero-payees,v4,UNK
non-zero-payees,v5,N
non-zero-payees,v6,UNK
non-zero-payees,v7,UNK
non-zero-payees,v8,UNK
non-zero-payees,v9,UNK
positive-shares,v1,UNK
positive-shares,v10,UNK
positive-shares,v2,UNK
positive-shares,v3,UNK
positive-shares,v4,UNK
positive-shares,v5,UNK
positive-shares,v6,UNK
positive-shares,v7,UNK
positive-shares,v8,UNK
positive-shares,v9,UNK
releasable-balance-check,v1,UNK
releasable-balance-check,v10,UNK
releasable-balance-check,v2,UNK
releasable-balance-check,v3,UNK
releasable-balance-check,v4,UNK
releasable-balance-check,v5,N
releasable-balance-check,v6,UNK
releasable-balance-check,v7,UNK
releasable-balance-check,v8,UNK
releasable-balance-check,v9,UNK
releasable-sum-balance,v1,UNK
releasable-sum-balance,v10,UNK
releasable-sum-balance,v2,UNK
releasable-sum-balance,v3,N!
releasable-sum-balance,v4,UNK
releasable-sum-balance,v5,N
releasable-sum-balance,v6,UNK
releasable-sum-balance,v7,UNK
releasable-sum-balance,v8,UNK
releasable-sum-balance,v9,UNK
release-balance-payee,v1,UNK
release-balance-payee,v10,UNK
release-balance-payee,v2,UNK
release-balance-payee,v3,N!
release-balance-payee,v4,UNK
release-balance-payee,v5,N!
release-balance-payee,v6,UNK
release-balance-payee,v7,UNK
release-balance-payee,v8,UNK
release-balance-payee,v9,UNK
release-balance-ps,v1,UNK
release-balance-ps,v10,UNK
release-balance-ps,v2,UNK
release-balance-ps,v3,N!
release-balance-ps,v4,UNK
release-balance-ps,v5,N
release-balance-ps,v6,UNK
release-balance-ps,v7,UNK
release-balance-ps,v8,UNK
release-balance-ps,v9,UNK
