property,version,outcome
fair-split-eq,v1,N
fair-split-eq,v2,UNK
fair-split-eq,v3,UNK
fair-split-eq,v4,N
fair-split-eq,v5,UNK
fair-split-geq,v1,UNK
fair-split-geq,v2,UNK
fair-split-geq,v3,P!
fair-split-geq,v4,UNK
fair-split-geq,v5,UNK
non-zero-payees,v1,UNK
non-zero-payees,v2,UNK
non-zero-payees,v3,P!
non-zero-payees,v4,UNK
non-zero-payees,v5,UNK
non-zero-payees,v6,UNK
positive-shares,v1,UNK
positive-shares,v2,UNK
positive-shares,v3,P!
positive-shares,v4,UNK
positive-shares,v5,UNK
releasable-balance-check,v1,UNK
releasable-balance-check,v2,UNK
releasable-balance-check,v3,P!
releasable-balance-check,v4,N
releasable-balance-check,v5,UNK
releasable-sum-balance,v1,N
releasable-sum-balance,v2,UNK
releasable-sum-balance,v3,N!
releasable-sum-balance,v4,UNK
releasable-sum-balance,v5,UNK
release-balance-payee,v1,UNK
release-balance-payee,v2,N!
release-balance-payee,v3,UNK
release-balance-payee,v4,UNK
release-balance-payee,v5,UNK
release-balance-ps,v1,UNK
release-balance-ps,v2,UNK
release-balance-ps,v3,UNK
release-balance-ps,v4,UNK
release-balance-ps,v5,UNK
