property,version,outcome

join-balance-eq,v1,N!
join-balance-eq,v10,N!
join-balance-eq,v11,N!
join-balance-eq,v12,N!
join-balance-eq,v13,N!
join-balance-eq,v14,N!
join-balance-eq,v15,N!
join-balance-eq,v16,P!
join-balance-eq,v2,N!
join-balance-eq,v3,N!
join-balance-eq,v4,N!
join-balance-eq,v5,N!
join-balance-eq,v6,N!
join-balance-eq,v7,N!
join-balance-eq,v8,N!
join-balance-eq,v9,N!
join-balance-geq,v1,N!
join-balance-geq,v10,N!
join-balance-geq,v11,N!
join-balance-geq,v12,N!
join-balance-geq,v13,N!
join-balance-geq,v14,N!
join-balance-geq,v15,N!
join-balance-geq,v16,P!
join-balance-geq,v2,N!
join-balance-geq,v3,N!
join-balance-geq,v4,N!
join-balance-geq,v5,N!
join-balance-geq,v6,N!
join-balance-geq,v7,N!
join-balance-geq,v8,N!
join-balance-geq,v9,N!
join-only-once,v1,P!
join-only-once,v10,P!
join-only-once,v11,P!
join-only-once,v12,P!
join-only-once,v13,P!
join-only-once,v14,P!
join-only-once,v15,N!
join-only-once,v16,N!
join-only-once,v2,N!
join-only-once,v3,P!
join-only-once,v4,P!
join-only-once,v5,P!
join-only-once,v6,N!
join-only-once,v7,P!
join-only-once,v8,P!
join-only-once,v9,P!
join-player,v1,P!
join-player,v10,P!
join-player,v11,P!
join-player,v12,P!
join-player,v13,P!
join-player,v14,P!
join-player,v15,P!
join-player,v16,P!
join-player,v2,P!
join-player,v3,P!
join-player,v4,P!
join-player,v5,P!
join-player,v6,N!
join-player,v7,P!
join-player,v8,P!
join-player,v9,P!
join-revert,v1,P!
join-revert,v10,N!
join-revert,v11,P!
join-revert,v12,P!
join-revert,v13,P!
join-revert,v14,P!
join-revert,v15,P!
join-revert,v16,N!
join-revert,v2,N!
join-revert,v3,P!
join-revert,v4,N!
join-revert,v5,N!
join-revert,v6,P!
join-revert,v7,P!
join-revert,v8,P!
join-revert,v9,P!
only-owner-or-player-receive,v1,N!
only-owner-or-player-receive,v10,N!
only-owner-or-player-receive,v11,N!
only-owner-or-player-receive,v12,N!
only-owner-or-player-receive,v13,N!
only-owner-or-player-receive,v14,N!
