property,version,outcome
cancel-revert,v1,P!
cancel-revert,v10,P!
cancel-revert,v11,P!
cancel-revert,v2,P!
cancel-revert,v3,P!
cancel-revert,v4,P!
cancel-revert,v5,N!
cancel-revert,v6,P!
cancel-revert,v7,P!
cancel-revert,v8,P!
cancel-revert,v9,N!
finalize-assets-transfer,v1,N!
finalize-assets-transfer,v10,N!
finalize-assets-transfer,v11,N!
finalize-assets-transfer,v2,N!
finalize-assets-transfer,v3,N!
finalize-assets-transfer,v4,N!
finalize-assets-transfer,v5,N!
finalize-assets-transfer,v6,N!
finalize-assets-transfer,v7,N!
finalize-assets-transfer,v8,N!
finalize-assets-transfer,v9,N!
finalize-revert,v1,P!
finalize-revert,v10,P!
finalize-revert,v11,P!
finalize-revert,v2,P!
finalize-revert,v3,N!
finalize-revert,v4,P!
finalize-revert,v5,P!
finalize-revert,v6,P!
finalize-revert,v7,N!
finalize-revert,v8,P!
finalize-revert,v9,P!
finalize-sent-eq-amount,v1,N!
finalize-sent-eq-amount,v10,N!
finalize-sent-eq-amount,v11,N!
finalize-sent-eq-amount,v2,N!
finalize-sent-eq-amount,v3,N!
finalize-sent-eq-amount,v4,N!
finalize-sent-eq-amount,v5,N!
finalize-sent-eq-amount,v6,N!
finalize-sent-eq-amount,v7,N!
finalize-sent-eq-amount,v8,N!
finalize-sent-eq-amount,v9,N!
finalize-sent-leq-amount,v1,N!
finalize-sent-leq-amount,v10,N!
finalize-sent-leq-amount,v11,N!
finalize-sent-leq-amount,v2,N!
finalize-sent-leq-amount,v3,N!
finalize-sent-leq-amount,v4,P!
finalize-sent-leq-amount,v5,N!
finalize-sent-leq-amount,v6,N!
finalize-sent-leq-amount,v7,N!
finalize-sent-leq-amount,v8,P!
finalize-sent-leq-amount,v9,N!
keys-distinct,v1,P!
keys-distinct,v10,P!
keys-distinct,v11,P!
keys-distinct,v2,N!
keys-distinct,v3,P!
keys-distinct,v4,P!
keys-distinct,v5,P!
keys-distinct,v6,P!
keys-distinct,v7,P!
keys-distinct,v8,P!
keys-distinct,v9,P!
keys-invariant-inter,v1,P!
keys-invariant-inter,v10,P!
keys-invariant-inter,v11,P!
keys-invariant-inter,v2,P!
keys-invariant-inter,v3,P!
keys-invariant-inter,v4,P!
keys-invariant-inter,v5,P!
keys-invariant-inter,v6,P!
keys-invariant-inter,v7,P!
keys-invariant-inter,v8,P!
keys-invariant-inter,v9,P!
state-idle-req-inter,v1,P!
state-idle-req-inter,v10,P!
state-idle-req-inter,v11,P!
state-idle-req-inter,v2,P!
state-idle-req-inter,v3,P!
state-idle-req-inter,v4,P!
state-idle-req-inter,v5,P!
state-idle-req-inter,v6,P!
state-idle-req-inter,v7,P!
state-idle-req-inter,v8,P!
state-idle-req-inter,v9,P!
state-req-amount-consistent,v1,P!
state-req-amount-consistent,v10,N!
state-req-amount-consistent,v11,N!
state-req-amount-consistent,v2,P!
state-req-amount-consistent,v3,P!
state-req-amount-consistent,v4,P!
state-req-amount-consistent,v5,P!
state-req-amount-consistent,v6,N!
state-req-amount-consistent,v7,P!
state-req-amount-consistent,v8,P!
state-req-amount-consistent,v9,P!
state-update,v1,N!
state-update,v10,N!
state-update,v11,N!
state-update,v2,N!
state-update,v3,N!
state-update,v4,N!
state-update,v5,N!
state-update,v6,N!
state-update,v7,N!
state-update,v8,P!
state-update,v9,N!
withdraw-revert,v1,P!
withdraw-revert,v10,P!
withdraw-revert,v11,P!
withdraw-revert,v2,P!
withdraw-revert,v3,P!
withdraw-revert,v4,P!
withdraw-revert,v5,P!
withdraw-revert,v6,N!
withdraw-revert,v7,P!
withdraw-revert,v8,P!
withdraw-revert,v9,P!
